                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                 1.3158,                   1.34,                 1.7941,                 0.7859,                0.75758,                0.82675,                0.61196,                 1.0679,                 1.1751,                 1.6139,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.3527,                 1.3244,                 1.8234,                0.76807,                0.74547,                0.79876,                0.57578,                 1.1163,                 1.2485,                 1.6695,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.3272,                 1.2864,                 1.7939,                0.77599,                0.74892,                0.82436,                0.58414,                 1.1452,                 1.2385,                 1.6935,              0.0006536,              0.0006536,              0.0006536
                     70,                  1.318,                 1.2589,                 1.7847,                0.71362,                 0.8522,                0.84016,                0.60384,                 1.0949,                 1.1905,                 1.6457,              0.0006338,              0.0006338,              0.0006338
                     71,                  1.289,                 1.2535,                 1.7633,                0.69226,                0.82251,                 0.8053,                0.58823,                 1.0818,                 1.2552,                 1.6231,               0.000614,               0.000614,               0.000614
                     72,                 1.3128,                 1.2475,                 1.7794,                0.83198,                0.71429,                  0.849,                0.61207,                 1.0974,                 1.2006,                 1.5795,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.2954,                 1.3213,                 1.7704,                0.78939,                0.70563,                0.82743,                0.57676,                 1.1441,                 1.2984,                 1.6066,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.2763,                 1.2493,                 1.7698,                0.69539,                0.64935,                 0.7716,                0.56397,                 1.0721,                 1.3699,                 1.5618,              0.0005546,              0.0005546,              0.0005546
                     75,                  1.256,                 1.2932,                  1.751,                0.70647,                0.79221,                0.84725,                0.64196,                  1.007,                 1.1446,                 1.5246,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.2676,                 1.3397,                 1.7516,                0.78271,                0.81087,                0.87834,                0.66917,                0.99618,                 1.1049,                 1.5446,               0.000515,               0.000515,               0.000515
                     77,                 1.2372,                 1.2461,                 1.7272,                0.79453,                0.78788,                0.86667,                0.65566,                 1.0111,                 1.1155,                 1.5582,              0.0004952,              0.0004952,              0.0004952
                     78,                  1.218,                 1.2116,                 1.6872,                 0.7628,                0.77922,                0.83884,                0.61731,                 1.0458,                 1.1145,                 1.5836,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.2084,                 1.1531,                 1.6709,                0.76144,                0.83117,                0.85427,                0.63293,                  1.023,                 1.0915,                 1.5581,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.1967,                  1.203,                 1.7022,                 0.8111,                0.82684,                0.88771,                0.67802,                0.96559,                 1.0219,                 1.5131,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.2518,                  1.182,                 1.7288,                0.81517,                0.80952,                0.89368,                0.69124,                0.96302,                 1.0179,                 1.5129,               0.000416,               0.000416,               0.000416
                     82,                 1.2474,                 1.1819,                 1.7363,                0.77831,                0.85113,                0.90555,                0.69532,                0.94943,                 1.0262,                 1.5144,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.1945,                 1.1845,                 1.6656,                0.84766,                0.81896,                0.91081,                0.69411,                0.94263,                 1.0255,                 1.5026,              0.0003764,              0.0003764,              0.0003764
